Activity_Label,Heart_Rate,Time
Knees_bending,100.0,15
Knees_bending,120.0,18
Knees_bending,100.0,21
Knees_bending,100.0,24
Knees_bending,140.0,27
Knees_bending,100.0,30
Knees_bending,120.0,33
Knees_bending,120.0,36
Knees_bending,140.0,39
Knees_bending,120.0,42
Knees_bending,100.0,45
Knees_bending,140.0,48
Knees_bending,100.0,51
Knees_bending,140.0,54
Knees_bending,100.0,57
Cycling,80.0,3
Cycling,100.0,6
Cycling,80.0,9
Cycling,120.0,12
Cycling,80.0,15
Cycling,80.0,18
Cycling,100.0,21
Cycling,80.0,24
Cycling,80.0,27
Cycling,100.0,30
Cycling,80.0,33
Cycling,100.0,36
Cycling,80.0,39
Cycling,100.0,42
Cycling,80.0,45
Cycling,100.0,48
Cycling,80.0,51
Cycling,100.0,54
Cycling,80.0,57
Cycling,100.0,60
Jogging,60.0,3
Jogging,140.0,6
Jogging,100.0,9
Jogging,60.0,12
Jogging,100.0,15
Jogging,120.0,18
Jogging,140.0,21
Jogging,120.0,24
Jogging,100.0,27
Jogging,160.0,30
Jogging,140.0,33
Jogging,120.0,36
Jogging,160.0,39
Jogging,120.0,42
Jogging,160.0,45
Jogging,80.0,48
Jogging,100.0,51
Jogging,180.0,54
Jogging,80.0,57
Jogging,140.0,60
Running,100.0,3
Running,60.0,6
Running,120.0,9
Running,120.0,12
Running,120.0,15
Running,80.0,18
Running,100.0,21
Running,100.0,24
Running,80.0,27
Running,120.0,30
Running,80.0,33
Running,160.0,36
Running,80.0,39
Running,100.0,42
Running,100.0,45
Running,120.0,48
Running,140.0,51
Running,100.0,54
Running,140.0,57
Running,80.0,60
Jump_front_and_back,60.0,3
Jump_front_and_back,140.0,6
Jump_front_and_back,120.0,9
Jump_front_and_back,120.0,12
Jump_front_and_back,120.0,15
Jump_front_and_back,100.0,18
Jump_front_and_back,80.0,21
